27/07/20 20:05
Données du projet

                           	Segments	  Mots	Caractères (sans espaces)	Caractères (avec espaces)	Nombre de fichiers	
Total :                    	   33721	150081	                   960554	                  1051923	               112	
Restants :                 	   33721	150081	                   960554	                  1051923	               112	
Segments uniques :         	    6923	 51246	                   279205	                   319346	               110	
Segments uniques restants :	    6923	 51246	                   279205	                   319346	               110	


Statistiques par fichiers :

Nom du fichier                                              	Total segments	Segments restants	Segments uniques	Segments uniques restants	Total mots	Mots restants	Mots uniques	Mots uniques restants	Total caractères (sans espaces)	Caractères restants (sans espaces)	Caractères uniques (sans espaces)	Caractères uniques restants (sans espaces)	Total caractères (avec espaces)	Caractères restants (avec espaces)	Caractères uniques (avec espaces)	Caractères uniques restants (avec espaces)	
script/senior management salaries 20%.txt                   	             9	                9	               6	                        6	        44	           44	          41	                   41	                            342	                               342	                              220	                                       220	                            373	                               373	                              250	                                       250	
script/senior management salaries 50%.txt                   	             9	                9	               6	                        6	        44	           44	          41	                   41	                            342	                               342	                              220	                                       220	                            372	                               372	                              249	                                       249	
script/t/Bello.txt                                          	         20462	            20462	              46	                       46	     81913	        81913	         175	                  175	                         542503	                            542503	                             1414	                                      1414	                         583525	                            583525	                             1499	                                      1499	
script/t/black.txt                                          	            64	               64	              14	                       14	       214	          214	          44	                   44	                           1298	                              1298	                              267	                                       267	                           1391	                              1391	                              283	                                       283	
script/t/locks firms.txt                                    	            23	               23	              12	                       12	        62	           62	          39	                   39	                            380	                               380	                              221	                                       221	                            415	                               415	                              244	                                       244	
script/t/My products.txt                                    	            31	               31	               8	                        8	       106	          106	          31	                   31	                            708	                               708	                              195	                                       195	                            757	                               757	                              211	                                       211	
script/t/products.txt                                       	            30	               30	               0	                        0	       103	          103	           0	                    0	                            692	                               692	                                0	                                         0	                            740	                               740	                                0	                                         0	
script/t/script01.txt                                       	             9	                9	               5	                        5	        51	           51	          26	                   26	                            288	                               288	                              138	                                       138	                            324	                               324	                              154	                                       154	
script/t/script02.txt                                       	           122	              122	              37	                       37	       554	          554	         221	                  221	                           3309	                              3309	                             1202	                                      1202	                           3651	                              3651	                             1347	                                      1347	
script/t/script03.txt                                       	            38	               38	               6	                        6	       144	          144	          28	                   28	                            900	                               900	                              158	                                       158	                            970	                               970	                              174	                                       174	
script/t/tutorial 1.txt                                     	           104	              104	              39	                       39	       429	          429	         152	                  152	                           3308	                              3308	                             1015	                                      1015	                           3607	                              3607	                             1106	                                      1106	
script/t/tutorial 2.txt                                     	           101	              101	               7	                        7	       429	          429	          44	                   44	                           3276	                              3276	                              243	                                       243	                           3577	                              3577	                              273	                                       273	
script/t/tutorial 3.txt                                     	            95	               95	               8	                        8	       408	          408	          49	                   49	                           3114	                              3114	                              272	                                       272	                           3402	                              3402	                              305	                                       305	
